"","city","p1","p2","p3","p4","p5","p6"
"АО ""ГосМКБ Радуга""","Дубна",32,13,98199.2,473440,36,14095541
"АО ""ДМЗ им. Н.П. Федорова""","Дубна",2,1,82205,50891,36,2315302.5
"АО ИФТП","Дубна",3,4,18789,2798,9,139173
"АО НИИ Атолл","Дубна",35,17,242207,60000,36,336847
"АО НПК Дедал","Дубна",23,7,31240,246,0,786953
"АО НПО «Криптен»","Дубна",12,10,98199.2,0,36,3639328.5
"АО ПЗ Тензор","Дубна",15,8,98199.2,19540,36,1194293.5
"ГБОУ ВО МО ""Дубна""","Дубна",67,389,12647,13920.4,1229,63569.35
"ЗАО МПОТК «Технокомплект»","Дубна",20.5,6,34909,63027.5,36,510316.75
"ЗАО НПЦ Аспект","Дубна",6,6,88050,9299.5,0,1386480.7
"ОИЯИ","Дубна",23,836,98199.2,3933388.05,902,4011801.95
"ООО «Компания «Контакт»","Дубна",0,1,0,37.5,0,23802.5
"ООО НТИЦ «АпАТэК-Дубна»","Дубна",13,7,98199.2,89.325,13,97052
"ООО НТП Дубна","Дубна",4,2,0,0,36,6749.5
"ООО ПО «АпАТэК-Дубна»","Дубна",7,1,1000,0,36,254912.5
"АО ""НИИАО""","Жуковский",39,30,369372,2216,4,798084.5
"АО ""НИИП""","Жуковский",392,44,1570843,260338.5,36,4477691.5
"АО ""ЭМЗ имени В.М.Мясищева""","Жуковский",76,4,451896,13409.2,0,991251
"АО «ЛИИ им. М.М. Громова»","Жуковский",51,73,1078616,520904,0,3226332.245
"АО «МНИИ «Агат»","Жуковский",80,18,612399,37179.5,0,1947063.5
"АО ЦНТУ ""Динамика""","Жуковский",32,8,203097,199074.15,0,4505407.4
"ЦАГИ им. проф. Н.Е. Жуковского","Жуковский",160,463,5131061,268772,123,7304690.9
"АО ""Центр финансовых технологий""","Кольцово",20.5,10,73123,49254,36,4714094
"АО «Вектор-Бест»","Кольцово",15,42,75184,417518,10,3306696.5
"АО «Вектор-БиАльгам»","Кольцово",20.5,2,875,55114.5,36,300554.5
"ЗАО «Вектор-Медика»","Кольцово",0,5,0,8408.5,0,750975
"ФБУН ГНЦ ВБ ""Вектор""","Кольцово",115,135,599473.4,0,57,913616.13
"АО «К «ТРВ»","Королев",112,36,527707,1283936,36,22650989
"АО НПО ИТ","Королев",147,30,288764,13376.5,18,1404978.5
"ЗАО ЗЭМ РКК «Энергия»","Королев",20.5,10,1468,366027.835,0,14172731.25
